Image,MOS,if_test
flowerpot_gQP_3_tQP_3.ply,33.17403326,0
flowerpot_gsigma_0_tsigma_16.ply,62.72356697,0
flowerpot_gsigma_0_tsigma_32.ply,41.92492394,0
flowerpot_gsigma_0_tsigma_8.ply,84.32262699,0
flowerpot_gsigma_2_tsigma_16.ply,45.68188406,0
flowerpot_gsigma_2_tsigma_32.ply,32.11130646,0
flowerpot_gsigma_2_tsigma_8.ply,54.12593121,0
flowerpot_gsigma_4_tsigma_16.ply,41.92953214,0
flowerpot_gsigma_4_tsigma_32.ply,30.13147384,0
flowerpot_gsigma_4_tsigma_8.ply,43.83704173,0
flowerpot_level_7.ply,11.73484953,0
flowerpot_level_8.ply,17.74699624,0
flowerpot_level_9.ply,52.62549563,0
flowerpot_pqs_1_qs_16_rounded.ply,91.33270127,0
flowerpot_pqs_1_qs_32_rounded.ply,74.40304247,0
flowerpot_pqs_1_qs_48_rounded.ply,51.57107457,0
flowerpot_pqs_1_qs_64_rounded.ply,27.74273204,0
flowerpot_tsl_4_tqs_128.ply,4.548071475,0
flowerpot_tsl_4_tqs_256.ply,9.016393772,0
flowerpot_tsl_4_tqs_512.ply,9.018618048,0
flowerpot_tsl_4_tqs_64.ply,8.191728357,0
flowerpot_tsl_6_tqs_128.ply,61.56948953,0
flowerpot_tsl_6_tqs_256.ply,38.44130143,0
flowerpot_tsl_6_tqs_512.ply,24.99414861,0
flowerpot_tsl_6_tqs_64.ply,72.41894136,0
flowerpot_tsl_8_tqs_128.ply,76.26218224,0
flowerpot_tsl_8_tqs_256.ply,50.3957702,0
flowerpot_tsl_8_tqs_512.ply,31.2096695,0
flowerpot_tsl_8_tqs_64.ply,91.69369146,0
glasses_case_gQP_1_tQP_1.ply,79.5227268,0
glasses_case_gQP_1_tQP_2.ply,75.73406854,0
glasses_case_gQP_1_tQP_3.ply,52.0035238,0
glasses_case_gQP_2_tQP_1.ply,60.26589689,0
glasses_case_gQP_2_tQP_2.ply,56.3976326,0
glasses_case_gQP_2_tQP_3.ply,41.98232603,0
glasses_case_gQP_3_tQP_1.ply,27.77453966,0
glasses_case_gQP_3_tQP_2.ply,29.48230096,0
glasses_case_gQP_3_tQP_3.ply,28.14483738,0
glasses_case_gsigma_0_tsigma_16.ply,78.22695922,0
glasses_case_gsigma_0_tsigma_32.ply,57.46174075,0
glasses_case_gsigma_0_tsigma_8.ply,89.99496763,0
glasses_case_gsigma_2_tsigma_16.ply,43.96125739,0
glasses_case_gsigma_2_tsigma_32.ply,32.33984357,0
glasses_case_gsigma_2_tsigma_8.ply,42.95205493,0
glasses_case_gsigma_4_tsigma_16.ply,21.53502251,0
glasses_case_gsigma_4_tsigma_32.ply,26.68705974,0
glasses_case_gsigma_4_tsigma_8.ply,22.29518507,0
glasses_case_level_7.ply,10.70325612,0
glasses_case_level_8.ply,19.03975259,0
glasses_case_level_9.ply,69.24813673,0
glasses_case_pqs_1_qs_16_rounded.ply,90.00909084,0
glasses_case_pqs_1_qs_32_rounded.ply,85.17535619,0
glasses_case_pqs_1_qs_48_rounded.ply,69.24420872,0
glasses_case_pqs_1_qs_64_rounded.ply,50.61958082,0
glasses_case_tsl_4_tqs_128.ply,73.24135477,0
glasses_case_tsl_4_tqs_256.ply,54.66142653,0
glasses_case_tsl_4_tqs_512.ply,28.10649938,0
glasses_case_tsl_4_tqs_64.ply,81.04599946,0
glasses_case_tsl_6_tqs_128.ply,54.89596744,0
glasses_case_tsl_6_tqs_256.ply,35.91425495,0
glasses_case_tsl_6_tqs_512.ply,23.88538209,0
glasses_case_tsl_6_tqs_64.ply,53.78676569,0
glasses_case_tsl_8_tqs_128.ply,77.89721037,0
glasses_case_tsl_8_tqs_256.ply,52.66644107,0
glasses_case_tsl_8_tqs_512.ply,33.49483616,0
glasses_case_tsl_8_tqs_64.ply,79.49317365,0
honeydew_melon_gQP_1_tQP_1.ply,85.52765533,0
honeydew_melon_gQP_1_tQP_2.ply,74.17353139,0
honeydew_melon_gQP_1_tQP_3.ply,58.12105658,0
honeydew_melon_gQP_2_tQP_1.ply,63.27436376,0
honeydew_melon_gQP_2_tQP_2.ply,62.44898754,0
honeydew_melon_gQP_2_tQP_3.ply,47.44246097,0
honeydew_melon_gQP_3_tQP_1.ply,46.08520633,0
honeydew_melon_gQP_3_tQP_2.ply,45.96369786,0
honeydew_melon_gQP_3_tQP_3.ply,39.60295452,0
honeydew_melon_gsigma_0_tsigma_16.ply,79.57471034,0
honeydew_melon_gsigma_0_tsigma_32.ply,46.84073251,0
honeydew_melon_gsigma_0_tsigma_8.ply,92.66246004,0
honeydew_melon_gsigma_2_tsigma_16.ply,54.85708373,0
honeydew_melon_gsigma_2_tsigma_32.ply,30.28857854,0
honeydew_melon_gsigma_2_tsigma_8.ply,65.39565957,0
honeydew_melon_gsigma_4_tsigma_16.ply,44.80889224,0
honeydew_melon_gsigma_4_tsigma_32.ply,31.01073402,0
honeydew_melon_gsigma_4_tsigma_8.ply,40.17866933,0
honeydew_melon_level_7.ply,5.739747099,0
honeydew_melon_level_8.ply,20.5582786,0
honeydew_melon_level_9.ply,87.62268458,0
honeydew_melon_pqs_1_qs_16_rounded.ply,88.33736389,0
honeydew_melon_pqs_1_qs_32_rounded.ply,78.17302378,0
honeydew_melon_pqs_1_qs_48_rounded.ply,62.13609637,0
honeydew_melon_pqs_1_qs_64_rounded.ply,30.17348313,0
honeydew_melon_tsl_4_tqs_128.ply,42.63010541,0
honeydew_melon_tsl_4_tqs_256.ply,25.91631271,0
honeydew_melon_tsl_4_tqs_512.ply,10.83065115,0
honeydew_melon_tsl_4_tqs_64.ply,49.65916531,0
honeydew_melon_tsl_6_tqs_128.ply,52.89687637,0
honeydew_melon_tsl_6_tqs_256.ply,35.59875651,0
honeydew_melon_tsl_6_tqs_512.ply,13.90621355,0
honeydew_melon_tsl_6_tqs_64.ply,54.8827352,0
honeydew_melon_tsl_8_tqs_128.ply,81.35073792,0
honeydew_melon_tsl_8_tqs_256.ply,41.71858667,0
honeydew_melon_tsl_8_tqs_512.ply,14.29429985,0
honeydew_melon_tsl_8_tqs_64.ply,88.0734534,0
house_gQP_1_tQP_1.ply,92.22795336,0
house_gQP_1_tQP_2.ply,70.65323091,0
house_gQP_1_tQP_3.ply,38.25820985,0
house_gQP_2_tQP_1.ply,74.45270788,0
house_gQP_2_tQP_2.ply,63.06019202,0
house_gQP_2_tQP_3.ply,40.79004677,0
house_gQP_3_tQP_1.ply,40.63937374,0
house_gQP_3_tQP_2.ply,37.12616089,0
house_gQP_3_tQP_3.ply,29.22124359,0
house_gsigma_0_tsigma_16.ply,69.80583942,0
house_gsigma_0_tsigma_32.ply,48.93321579,0
house_gsigma_0_tsigma_8.ply,90.17113564,0
house_gsigma_2_tsigma_16.ply,46.30083599,0
house_gsigma_2_tsigma_32.ply,34.86645876,0
house_gsigma_2_tsigma_8.ply,48.68141211,0
house_gsigma_4_tsigma_16.ply,29.89754144,0
house_gsigma_4_tsigma_32.ply,19.38454229,0
house_gsigma_4_tsigma_8.ply,35.68854777,0
house_level_7.ply,2.953877424,0
house_level_8.ply,15.94446242,0
house_level_9.ply,63.69121032,0
house_pqs_1_qs_16_rounded.ply,88.432011,0
house_pqs_1_qs_32_rounded.ply,77.69216307,0
house_pqs_1_qs_48_rounded.ply,68.06703004,0
house_pqs_1_qs_64_rounded.ply,50.59385382,0
house_tsl_4_tqs_128.ply,54.31101695,0
house_tsl_4_tqs_256.ply,37.90143461,0
house_tsl_4_tqs_512.ply,22.39643651,0
house_tsl_4_tqs_64.ply,65.09485808,0
house_tsl_6_tqs_128.ply,75.3571452,0
house_tsl_6_tqs_256.ply,42.98648413,0
house_tsl_6_tqs_512.ply,26.58473454,0
house_tsl_6_tqs_64.ply,84.77302695,0
house_tsl_8_tqs_128.ply,80.24781187,0
house_tsl_8_tqs_256.ply,52.60120652,0
house_tsl_8_tqs_512.ply,27.60330842,0
house_tsl_8_tqs_64.ply,86.7884343,0
litchi_gQP_1_tQP_1.ply,83.82459716,0
litchi_gQP_1_tQP_2.ply,73.7164483,0
litchi_gQP_1_tQP_3.ply,59.29219253,0
litchi_gQP_2_tQP_1.ply,62.08415891,0
litchi_gQP_2_tQP_2.ply,49.46809496,0
litchi_gQP_2_tQP_3.ply,40.8373808,0
litchi_gQP_3_tQP_1.ply,38.8157313,0
litchi_gQP_3_tQP_2.ply,41.62178436,0
litchi_gQP_3_tQP_3.ply,29.95124476,0
litchi_gsigma_0_tsigma_16.ply,78.99324726,0
litchi_gsigma_0_tsigma_32.ply,40.75832148,0
litchi_gsigma_0_tsigma_8.ply,92.5519659,0
litchi_gsigma_2_tsigma_16.ply,55.46141956,0
litchi_gsigma_2_tsigma_32.ply,39.75588339,0
litchi_gsigma_2_tsigma_8.ply,66.69196192,0
litchi_gsigma_4_tsigma_16.ply,43.39649489,0
litchi_gsigma_4_tsigma_32.ply,32.56601573,0
litchi_gsigma_4_tsigma_8.ply,39.07952026,0
litchi_level_7.ply,2.482748258,0
litchi_level_8.ply,23.51904767,0
litchi_level_9.ply,88.25654022,0
litchi_pqs_1_qs_16_rounded.ply,90.59614947,0
litchi_pqs_1_qs_32_rounded.ply,72.26469753,0
litchi_pqs_1_qs_48_rounded.ply,43.15755648,0
litchi_pqs_1_qs_64_rounded.ply,32.09673457,0
litchi_tsl_4_tqs_128.ply,33.92753037,0
litchi_tsl_4_tqs_256.ply,24.48177139,0
litchi_tsl_4_tqs_512.ply,14.16383462,0
litchi_tsl_4_tqs_64.ply,41.44995622,0
litchi_tsl_6_tqs_128.ply,66.52326242,0
litchi_tsl_6_tqs_256.ply,38.63096165,0
litchi_tsl_6_tqs_512.ply,21.54700544,0
litchi_tsl_6_tqs_64.ply,76.61593988,0
litchi_tsl_8_tqs_128.ply,72.29047685,0
litchi_tsl_8_tqs_256.ply,52.24182148,0
litchi_tsl_8_tqs_512.ply,25.86577269,0
litchi_tsl_8_tqs_64.ply,89.13485285,0
pen_container_gQP_1_tQP_1.ply,73.52634804,0
pen_container_gQP_1_tQP_2.ply,70.28884535,0
pen_container_gQP_1_tQP_3.ply,46.53720777,0
pen_container_gQP_2_tQP_1.ply,53.34469001,0
pen_container_gQP_2_tQP_2.ply,44.33274307,0
pen_container_gQP_2_tQP_3.ply,48.20411042,0
pen_container_gQP_3_tQP_1.ply,33.30402412,0
pen_container_gQP_3_tQP_2.ply,41.84397306,0
pen_container_gQP_3_tQP_3.ply,31.29669104,0
pen_container_gsigma_0_tsigma_16.ply,71.56783481,0
pen_container_gsigma_0_tsigma_32.ply,46.96382835,0
pen_container_gsigma_0_tsigma_8.ply,89.21398884,0
pen_container_gsigma_2_tsigma_16.ply,42.52148539,0
pen_container_gsigma_2_tsigma_32.ply,31.71810296,0
pen_container_gsigma_2_tsigma_8.ply,49.60595949,0
pen_container_gsigma_4_tsigma_16.ply,27.73032223,0
pen_container_gsigma_4_tsigma_32.ply,26.76427729,0
pen_container_gsigma_4_tsigma_8.ply,32.68372466,0
pen_container_level_7.ply,2.804935525,0
pen_container_level_8.ply,21.11616176,0
pen_container_level_9.ply,69.83589159,0
pen_container_pqs_1_qs_16_rounded.ply,89.99880847,0
pen_container_pqs_1_qs_32_rounded.ply,76.86578198,0
pen_container_pqs_1_qs_48_rounded.ply,65.20220124,0
pen_container_pqs_1_qs_64_rounded.ply,54.48224583,0
pen_container_tsl_4_tqs_128.ply,16.44390869,0
pen_container_tsl_4_tqs_256.ply,15.93659647,0
pen_container_tsl_4_tqs_512.ply,12.59679012,0
pen_container_tsl_4_tqs_64.ply,16.4123228,0
pen_container_tsl_6_tqs_128.ply,66.92772188,0
pen_container_tsl_6_tqs_256.ply,41.38784241,0
pen_container_tsl_6_tqs_512.ply,25.2678055,0
pen_container_tsl_6_tqs_64.ply,81.92204441,0
pen_container_tsl_8_tqs_128.ply,77.20825479,0
pen_container_tsl_8_tqs_256.ply,56.30186956,0
pen_container_tsl_8_tqs_512.ply,33.14918481,0
pen_container_tsl_8_tqs_64.ply,85.34021252,0
ping-pong_bat_gQP_1_tQP_1.ply,73.32501116,0
ping-pong_bat_gQP_1_tQP_2.ply,63.85195787,0
ping-pong_bat_gQP_1_tQP_3.ply,53.26474741,0
ping-pong_bat_gQP_2_tQP_1.ply,61.7305609,0
ping-pong_bat_gQP_2_tQP_2.ply,57.05151055,0
ping-pong_bat_gQP_2_tQP_3.ply,42.26146311,0
ping-pong_bat_gQP_3_tQP_1.ply,35.55000273,0
ping-pong_bat_gQP_3_tQP_2.ply,34.66209677,0
ping-pong_bat_gQP_3_tQP_3.ply,36.75484397,0
ping-pong_bat_gsigma_0_tsigma_16.ply,59.9268872,0
ping-pong_bat_gsigma_0_tsigma_32.ply,45.26451967,0
ping-pong_bat_gsigma_0_tsigma_8.ply,85.76939372,0
ping-pong_bat_gsigma_2_tsigma_16.ply,43.72573164,0
ping-pong_bat_gsigma_2_tsigma_32.ply,36.8020878,0
ping-pong_bat_gsigma_2_tsigma_8.ply,53.59356464,0
ping-pong_bat_gsigma_4_tsigma_16.ply,31.37290037,0
ping-pong_bat_gsigma_4_tsigma_32.ply,28.12785458,0
ping-pong_bat_gsigma_4_tsigma_8.ply,36.83180396,0
ping-pong_bat_level_7.ply,10.66904823,0
ping-pong_bat_level_8.ply,26.11003906,0
ping-pong_bat_level_9.ply,85.71748306,0
ping-pong_bat_pqs_1_qs_16_rounded.ply,91.84153463,0
ping-pong_bat_pqs_1_qs_32_rounded.ply,57.33546331,0
ping-pong_bat_pqs_1_qs_48_rounded.ply,41.32431727,0
ping-pong_bat_pqs_1_qs_64_rounded.ply,28.34999248,0
ping-pong_bat_tsl_4_tqs_128.ply,5.608914607,0
ping-pong_bat_tsl_4_tqs_256.ply,4.172555657,0
ping-pong_bat_tsl_4_tqs_512.ply,5.085960367,0
ping-pong_bat_tsl_4_tqs_64.ply,5.51761495,0
ping-pong_bat_tsl_6_tqs_128.ply,50.0484513,0
ping-pong_bat_tsl_6_tqs_256.ply,33.49455035,0
ping-pong_bat_tsl_6_tqs_512.ply,26.98407872,0
ping-pong_bat_tsl_6_tqs_64.ply,70.2438173,0
ping-pong_bat_tsl_8_tqs_128.ply,52.63107514,0
ping-pong_bat_tsl_8_tqs_256.ply,38.25323224,0
ping-pong_bat_tsl_8_tqs_512.ply,30.36277636,0
ping-pong_bat_tsl_8_tqs_64.ply,77.24077289,0
puer_tea_gQP_1_tQP_1.ply,77.91470095,0
puer_tea_gQP_1_tQP_2.ply,75.4444591,0
puer_tea_gQP_1_tQP_3.ply,51.29887452,0
puer_tea_gQP_2_tQP_1.ply,62.50545414,0
puer_tea_gQP_2_tQP_2.ply,63.42565477,0
puer_tea_gQP_2_tQP_3.ply,48.99328461,0
puer_tea_gQP_3_tQP_1.ply,49.25330318,0
puer_tea_gQP_3_tQP_2.ply,42.08416878,0
puer_tea_gQP_3_tQP_3.ply,37.31071354,0
puer_tea_gsigma_0_tsigma_16.ply,48.63259403,0
puer_tea_gsigma_0_tsigma_32.ply,34.7408577,0
puer_tea_gsigma_0_tsigma_8.ply,79.47669335,0
puer_tea_gsigma_2_tsigma_16.ply,32.5523098,0
puer_tea_gsigma_2_tsigma_32.ply,27.4135991,0
puer_tea_gsigma_2_tsigma_8.ply,43.47026556,0
puer_tea_gsigma_4_tsigma_16.ply,22.98694951,0
puer_tea_gsigma_4_tsigma_32.ply,17.4081868,0
puer_tea_gsigma_4_tsigma_8.ply,24.00198769,0
puer_tea_level_7.ply,3.153462529,0
puer_tea_level_8.ply,16.26033493,0
puer_tea_level_9.ply,77.84326641,0
puer_tea_pqs_1_qs_16_rounded.ply,88.77922488,0
puer_tea_pqs_1_qs_32_rounded.ply,57.83074034,0
puer_tea_pqs_1_qs_48_rounded.ply,53.83101443,0
puer_tea_pqs_1_qs_64_rounded.ply,48.01354497,0
puer_tea_tsl_4_tqs_128.ply,26.81991353,0
puer_tea_tsl_4_tqs_256.ply,12.19981534,0
puer_tea_tsl_4_tqs_512.ply,5.842224721,0
puer_tea_tsl_4_tqs_64.ply,22.63056663,0
puer_tea_tsl_6_tqs_128.ply,62.98621215,0
puer_tea_tsl_6_tqs_256.ply,28.55586178,0
puer_tea_tsl_6_tqs_512.ply,16.59954847,0
puer_tea_tsl_6_tqs_64.ply,86.88044877,0
puer_tea_tsl_8_tqs_128.ply,61.79745668,0
puer_tea_tsl_8_tqs_256.ply,36.11364107,0
puer_tea_tsl_8_tqs_512.ply,21.54590932,0
puer_tea_tsl_8_tqs_64.ply,79.84533052,0
pumpkin_gQP_1_tQP_1.ply,80.03200907,0
pumpkin_gQP_1_tQP_2.ply,63.62860455,0
pumpkin_gQP_1_tQP_3.ply,41.50382095,0
pumpkin_gQP_2_tQP_1.ply,57.30854338,0
pumpkin_gQP_2_tQP_2.ply,56.34774299,0
pumpkin_gQP_2_tQP_3.ply,41.51596423,0
pumpkin_gQP_3_tQP_1.ply,46.14227709,0
pumpkin_gQP_3_tQP_2.ply,37.54247859,0
pumpkin_gQP_3_tQP_3.ply,30.23205216,0
pumpkin_gsigma_0_tsigma_16.ply,73.8480628,0
pumpkin_gsigma_0_tsigma_32.ply,47.64524874,0
pumpkin_gsigma_0_tsigma_8.ply,88.71289491,0
pumpkin_gsigma_2_tsigma_16.ply,50.88715487,0
pumpkin_gsigma_2_tsigma_32.ply,36.13580208,0
pumpkin_gsigma_2_tsigma_8.ply,59.70275662,0
pumpkin_gsigma_4_tsigma_16.ply,37.90024828,0
pumpkin_gsigma_4_tsigma_32.ply,26.06866845,0
pumpkin_gsigma_4_tsigma_8.ply,37.62442881,0
pumpkin_level_7.ply,1.812600251,0
pumpkin_level_8.ply,20.6394442,0
pumpkin_level_9.ply,76.03000232,0
pumpkin_pqs_1_qs_16_rounded.ply,85.62141081,0
pumpkin_pqs_1_qs_32_rounded.ply,83.04295679,0
pumpkin_pqs_1_qs_48_rounded.ply,71.63365401,0
pumpkin_pqs_1_qs_64_rounded.ply,52.24143669,0
pumpkin_tsl_4_tqs_128.ply,78.67404727,0
pumpkin_tsl_4_tqs_256.ply,53.12513301,0
pumpkin_tsl_4_tqs_512.ply,28.67861771,0
pumpkin_tsl_4_tqs_64.ply,86.44648425,0
pumpkin_tsl_6_tqs_128.ply,62.2123483,0
pumpkin_tsl_6_tqs_256.ply,48.3776982,0
pumpkin_tsl_6_tqs_512.ply,25.68112045,0
pumpkin_tsl_6_tqs_64.ply,66.90624806,0
pumpkin_tsl_8_tqs_128.ply,78.97698177,0
pumpkin_tsl_8_tqs_256.ply,55.34363898,0
pumpkin_tsl_8_tqs_512.ply,29.76480834,0
pumpkin_tsl_8_tqs_64.ply,87.77156724,0
ship_gQP_1_tQP_1.ply,86.83243163,0
ship_gQP_1_tQP_2.ply,79.66953395,0
ship_gQP_1_tQP_3.ply,64.65363881,0
ship_gQP_2_tQP_1.ply,52.75587535,0
ship_gQP_2_tQP_2.ply,53.07130936,0
ship_gQP_2_tQP_3.ply,44.99481835,0
ship_gQP_3_tQP_1.ply,32.70113044,0
ship_gQP_3_tQP_2.ply,30.07825606,0
ship_gQP_3_tQP_3.ply,32.37187738,0
ship_gsigma_0_tsigma_16.ply,60.02590379,0
ship_gsigma_0_tsigma_32.ply,44.71311782,0
ship_gsigma_0_tsigma_8.ply,81.87614964,0
ship_gsigma_2_tsigma_16.ply,46.24280768,0
ship_gsigma_2_tsigma_32.ply,29.47047405,0
ship_gsigma_2_tsigma_8.ply,44.32391178,0
ship_gsigma_4_tsigma_16.ply,30.23841126,0
ship_gsigma_4_tsigma_32.ply,22.57182481,0
ship_gsigma_4_tsigma_8.ply,24.15903763,0
ship_level_7.ply,5.790659407,0
ship_level_8.ply,15.26715745,0
ship_level_9.ply,51.16749334,0
ship_pqs_1_qs_16_rounded.ply,91.89237886,0
ship_pqs_1_qs_32_rounded.ply,68.90628136,0
ship_pqs_1_qs_48_rounded.ply,60.85370266,0
ship_pqs_1_qs_64_rounded.ply,48.18439311,0
ship_tsl_4_tqs_128.ply,15.97910476,0
ship_tsl_4_tqs_256.ply,11.72465248,0
ship_tsl_4_tqs_512.ply,12.63710724,0
ship_tsl_4_tqs_64.ply,13.43235303,0
ship_tsl_6_tqs_128.ply,68.10486694,0
ship_tsl_6_tqs_256.ply,41.18616309,0
ship_tsl_6_tqs_512.ply,25.1244404,0
ship_tsl_6_tqs_64.ply,80.47808166,0
ship_tsl_8_tqs_128.ply,76.5494553,0
ship_tsl_8_tqs_256.ply,45.60453851,0
ship_tsl_8_tqs_512.ply,32.56767817,0
ship_tsl_8_tqs_64.ply,86.41452606,0
statue_gQP_1_tQP_1.ply,82.16544475,1
statue_gQP_1_tQP_2.ply,74.36868381,1
statue_gQP_1_tQP_3.ply,52.98086999,1
statue_gQP_2_tQP_1.ply,65.277898,1
statue_gQP_2_tQP_2.ply,58.03915102,1
statue_gQP_2_tQP_3.ply,45.29396388,1
statue_gQP_3_tQP_1.ply,25.88641621,1
statue_gQP_3_tQP_2.ply,32.58541188,1
statue_gQP_3_tQP_3.ply,26.9301373,1
statue_gsigma_0_tsigma_16.ply,69.24903345,1
statue_gsigma_0_tsigma_32.ply,49.2759668,1
statue_gsigma_0_tsigma_8.ply,85.11947303,1
statue_gsigma_2_tsigma_16.ply,39.41233042,1
statue_gsigma_2_tsigma_32.ply,34.7558873,1
